character,decomposition,definition,etymology_hint,etymology_phonetic,etymology_semantic,etymology_type,matches,pinyin,radical
目,⿴口二,"eye; to look, to see; division, topic",An eye drawn on its side,,,pictographic,"[0],[0],[1],[1],[0]",mù,目
盯,⿰目丁,to rivet one's gaze upon; to keep eyes on,eye,丁,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1]",dīng,目
盱,⿰目于,eyes wide open; to gaze in astonishment,eye,于,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1]",xū,目
盲,⿱亡目,blind; shortsighted; unperceptive,Losing 亡 one's sight 目; 亡 also provides the pronunciation,,,ideographic,"[0],[0],[0],[1],[1],[1],[1],[1]",máng,目
直,⿳十目一,"straight, vertical; candid, direct, frank",To look someone in the eye 目,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[2]",zhí,目
相,⿰木目,"mutual, reciprocal; equal; each other","To stare 目 at a tree 木, meaning to observe",,,ideographic,"[0],[0],[0],[0],[1],[1],[1],[1],[1]",xiāng,目
盹,⿰目屯,"to doze, to nap, to nod off",eye,屯,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",dǔn,目
盼,⿰目分,"to look, to gaze; to expect, to hope for",eye,分,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",pàn,目
盾,⿸厂⿱十目,shield; Dutch guilder,An eye 目 peering from behind a shield 厂,,,ideographic,"[0],[0],[1, 0],[1, 0],[1, 1],[1, 1],[1, 1],[1, 1],[1, 1]",dùn,目
省,⿱少目,"province; frugal; to save, to leave out",division,少,目,pictophonetic,"[0],[0],[0],[0],[1],[1],[1],[1],[1]",shěng,目
眄,⿰目丏,"to ogle, to squint at, to look askance",eye,丏,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",miǎn,目
眇,⿰目少,"blind in one eye; subtle, minute, minuscule",Too small 少 to be seen by the naked eye 目,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",miǎo,目
眈,⿰目冘,"to stare at, to gaze intently; to delay, to hinder",eye,冘,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",dān,目
眉,⿸尸目,eyebrows; upper margin of book,Picture of hair 尸 above an eye 目,,,ideographic,"[0],None,[0],[0],[1],[1],[1],[1],[1]",méi,目
看,⿱手目,"to look, to see; to examine, to scrutinize",Shielding one's eyes 目 with a hand 手 to look to the distance,,,ideographic,"[0],[0],[0],[0],[1],[1],[1],[1],[1]",kàn,目
県,⿱⿺目？小,"county, district, subdivision",head,小,目,pictophonetic,"[0, 0],[0, 0],[0, 0],[0, 0],[0, 0],None,[1],[1],[1]",xiàn,目
眍,⿰目区,sunken eyes,eye,区,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",kōu,目
眔,⿱目？,to glance; to wink,eye,,目,pictophonetic,"[0],[0],[0],[0],[0],None,None,None,None,None",dà,目
眙,⿰目台,to gaze at; a place name,eye,台,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",yí,目
眚,⿱生目,"cataract; fault, error, crime",eye,生,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",shěng,目
真,⿱直几,"real, actual, true, genuine","A straight 直 (that is, level) table 几",,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]",zhēn,目
眠,⿰目民,"sleep, shut-eye, hibernatation",eye,民,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",mián,目
眢,⿱夗目,"dull, parched, or inflamed eyes",eye,夗,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",yuān,目
眥,⿱此目,eye socket; the corner of the eye,eye,此,目,pictophonetic,"[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",zì,目
眦,⿰目此,eye socket; the corner of the eye,eye,此,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",zì,目
眨,⿰目乏,to wink,"Two eyes, one open 目 and one shut 乏",,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",zhǎ,目
眩,⿰目玄,"to confuse; dazed, disoriented",eye,玄,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",xuàn,目
眬,⿰目龙,"faint, fuzzy, blurry",eye,龙,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",lóng,目
眭,⿰目圭,a piercing gaze; the evil eye,eye,圭,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",suī,目
眯,⿰目米,"to squint, to narrow the eyes; blindness",eye,米,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",mī,目
眳,⿰目名,eye ridge,eye,名,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",míng,目
眵,⿰目多,rheum from the eyes,eye,多,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",chī,目
眶,⿰目匡,eye socket; the corner of the eye,eye,匡,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",kuàng,目
眷,⿱龹目,to take an interest in; to care for,eye,龹,目,pictophonetic,"[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",juàn,目
眸,⿰目牟,eye; pupil,eye,牟,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",móu,目
眺,⿰目兆,"to gaze, to look at; to scan, to survey",eye,兆,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",tiào,目
眼,⿰目艮,"eyelet, hole, opening",eye,艮,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",yǎn,目
眽,⿰目？,"to gaze; to look at, to ogle",eye,,目,pictophonetic,"[0],[0],[0],[0],[0],None,None,None,None,None,None",mò,目
眾,⿱罒众,"multitude, crowd; masses, public",crowd,罒,众,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",zhòng,目
着,⿸羊目,"to make a move, to take action",,,,,"[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",zhe,目
睁,⿰目争,to open one's eyes; to stare,eye,争,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",zhēng,目
睃,⿰目夋,to squint at,eye,夋,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",suō,目
睇,⿰目弟,"to glance, to look, to stare",eye,弟,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",dì,目
睏,⿰目困,"to surround; to besiege; surrounded, in distress; poor; tired, sleepy",,困,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",kùn,目
睐,⿰目来,to squint at; a sidelong glance,eye,来,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",lài,目
睑,⿰目佥,eyelid,eye,佥,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",jiǎn,目
睘,⿳罒一？,round; to stare,,,,,"[0],[0],[0],[0],[0],[1],None,None,None,None,None,None,None",qióng,目
睚,⿰目厓,to stare,eye,厓,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",yá,目
睛,⿰目青,eyeball; pupil,eye,青,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",jīng,目
睜,⿰目爭,to open one's eyes; to stare,eye,爭,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",zhēng,目
睞,⿰目來,to squint at; a sidelong glance,eye,來,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",lài,目
睡,⿰目垂,"to sleep, to doze",eye,垂,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",shuì,目
睢,⿰目隹,"to gaze at, to stare at; uninhibited",eye,隹,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",suī,目
督,⿱叔目,"to supervise, to oversee, to direct",eye,叔,目,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",dū,目
睥,⿰目卑,to glare at; to look askance,eye,卑,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",pì,目
睦,⿰目坴,"amiable, friendly, peaceful",eye,坴,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",mù,目
睨,⿰目兒,"to glare at, to look askance, to squint",eye,兒,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",nì,目
睪,⿱罒幸,to spy on,An eye 目 on top of a tower 幸,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",yì,目
睫,⿰目疌,eyelashes,eye,疌,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",jié,目
睬,⿰目采,"to notice, to pay attention to",eye,采,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",cǎi,目
睹,⿰目者,"to look at, to gaze at; to observe",eye,者,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",dǔ,目
睽,⿰目癸,to stare,eye,癸,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",kuí,目
睾,⿱血幸,testicle,,,,,"[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",gāo,目
睿,⿱⿳⺊冖一⿳八人目,"keen, clever, astute",,,,,"[0, 0],[0, 0],[0, 1],[0, 1],[0, 2],[1, 0],[1, 0],[1, 1],[1, 1],[1, 2],[1, 2],[1, 2],[1, 2],[1, 2]",ruì,目
瞀,⿱敄目,"to take a close look; nearsighted, dim",To make an effort 敄 to see 目 something,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",mào,目
瞄,⿰目苗,to take aim at; to look at,eye,苗,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",miáo,目
瞅,⿰目秋,"to see, to look at, to gaze at",eye,秋,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",chǒu,目
瞇,⿰目迷,"to squint, to narrow the eyes",eye,迷,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",mī,目
瞈,⿰目翁,blurred vision,An old man's 翁 eyes 目; 翁 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",wěng,目
瞋,⿰目真,to glare,eye,真,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",chēn,目
瞌,⿰目盍,sleepy; to doze off,eye,盍,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",kē,目
瞍,⿰目叟,blind,An old man's 叟 eyes 目; 叟 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",sǒu,目
瞎,⿰目害,"blind, reckless; rash",To damage 害 one's eyes 目; 害 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",xiā,目
瞑,⿰目冥,to close one's eyes,One's eyes 目at night 冥; 冥 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",míng,目
瞒,⿰目⿱艹两,"to deceive, to lie; to regard with suspicion",eye,㒼,目,pictophonetic,"[0],[0],[0],[0],[0],[1, 0],[1, 0],[1, 0],[1, 1],[1, 1],[1, 1],[1, 1],[1, 1],[1, 1],[1, 1]",mán,目
瞓,⿰目訓,to sleep,eye,訓,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",shuì,目
瞘,⿰目區,sunken eyes,eye,區,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",kōu,目
瞜,⿰目婁,to see; to look at; to observe,eye,婁,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",lōu,目
瞞,⿰目㒼,"to deceive, to lie; to regard with suspicion",eye,㒼,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",mán,目
瞟,⿰目票,"to squint, to glare, to look askance",eye,票,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",piǎo,目
瞠,⿰目堂,"to gaze, to look, to stare",eye,堂,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",chēng,目
瞢,⿱⿳艹罒冖目,to hide one's eyes; to feel ashamed,To cover 冖 one's eyes 目; 罒 provides the pronunciation,,,ideographic,"[0, 0],[0, 0],[0, 0],[0, 1],[0, 1],[0, 1],[0, 1],[0, 1],[0, 2],[0, 2],[1],[1],[1],[1],[1]",méng,目
瞥,⿱敝目,to take a fleeting glance at,eye,敝,目,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",piē,目
瞧,⿰目焦,"to glance at, to look at, to see",eye,焦,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",qiáo,目
瞩,⿰目属,"to focus on, to stare at, to watch carefully",eye,属,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",zhǔ,目
瞪,⿰目登,to stare at,eye,登,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",dèng,目
瞬,⿰目舜,"to wink, to blink; an instant, the blink of an eye",eye,舜,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",shùn,目
瞭,⿰目尞,bright; clear-sighted; to understand,eye,尞,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",liǎo,目
瞰,⿰目敢,"to watch, to spy on; to overlook, to look down on",eye,敢,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",kàn,目
瞳,⿰目童,the pupil of the eye,eye,童,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",tóng,目
瞵,⿰目粦,to stare at,eye,粦,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",lín,目
瞻,⿰目詹,to look; to look out for; to respect,eye,詹,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",zhān,目
瞼,⿰目僉,eyelid,eye,僉,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",jiǎn,目
瞽,⿱鼓目,"blind, stupid; a blind musician",eye,鼓,目,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",gǔ,目
瞿,⿱⿰目目隹,startled; surname,A bird 隹 with two wide eyes 目,,,ideographic,"[0, 0],[0, 0],[0, 0],[0, 0],[0, 0],[0, 1],[0, 1],[0, 1],[0, 1],[0, 1],[1],[1],[1],[1],[1],[1],[1],[1]",jù,目
矇,⿰目蒙,"stupid, ignorant; blind",eye,蒙,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",méng,目
矍,⿱瞿又,to look about in alarm or fright,To startle 瞿 again 又; 瞿 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]",jué,目
矓,⿰目龍,"faint, fuzzy, blurry",eye,龍,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",lóng,目
矗,⿱直⿰直直,"straight, upright; erect, lofty",Three people standing up straight 直,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1, 0],[1, 0],[1, 0],[1, 0],[1, 0],[1, 0],[1, 0],[1, 0],[1, 1],[1, 1],[1, 1],[1, 1],[1, 1],[1, 1],[1, 1],[1, 1]",chù,目
矚,⿰目屬,"to focus on, to stare at, to watch carefully",eye,屬,目,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",zhǔ,目
矛,？,"spear, lance",A spear pointed up and to the right,,,pictographic,"None,None,None,None,None",máo,矛
矜,⿰矛今,"to pity, to sympathize, to feel sorry for",spear,今,矛,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",jīn,矛
矞,⿱矛冏,"to bore with an awl; bright, charming",To bore a hole with an awl 矛,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",yù,矛
矢,⿻丿天,"arrow, dart; to vow, to swear",An arrow pointing upwards,,,pictographic,"[0],[1],[1],[1],[1]",shǐ,矢
矣,⿱厶矢,particle of completed action,,,,,"[0],[0],[1],[1],[1],[1],[1]",yǐ,矢
知,⿰矢口,"to know, to perceive, to comprehend",mouth,矢,口,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1]",zhī,矢
矦,⿸厃矢,target in archery,An arrow 矢 hitting a target 厃,,,pictographic,"[0],[0],[0],[0],[1],[1],[1],[1],[1]",hóu,矢
矧,⿰矢引,"interrogative particle; much more, still more",pull,矢,引,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",shěn,矢
矩,⿰矢巨,"carpenter's square, ruler, rule",arrow,巨,矢,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",jǔ,矢
矫,⿰矢乔,"to correct, to rectify, to straighten out",arrow,乔,矢,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",jiǎo,矢
矬,⿰矢坐,short; a dwarf,arrow,坐,矢,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",cuó,矢
短,⿰矢豆,"brief, short; deficient, lacking",dart,豆,矢,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",duǎn,矢
矮,⿰矢委,"short, low; dwarf",dart,委,矢,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",ǎi,矢
矯,⿰矢喬,"to correct, to rectify, to straighten out",arrow,喬,矢,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",jiǎo,矢
石,⿸厂口,"stone, rock, mineral",A rock 口 at the base of a cliff 厂,,,ideographic,"[0],[0],[1],[1],[1]",shí,石
矶,⿰石几,"jetty, reef; breakwater, eddy",rock,几,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1]",jī,石
矸,⿰石干,cliff; rock,rock,干,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1]",gān,石
矻,⿰石乞,"busy; to toil, to slave away",stone,乞,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1]",kū,石
矽,⿰石夕,silicon,stone,夕,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1]",xì,石
矾,⿰石凡,alum,mineral,凡,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1]",fán,石
矿,⿰石广,"mine; mineral, ore",mineral,广,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1]",kuàng,石
砀,⿰石昜,a stone veined with brilliant colors,A bright 昜 stone 石; 昜 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1]",dàng,石
码,⿰石马,"number, numeral, symbol; yard",stone,马,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1]",mǎ,石
砂,⿰石少,"sand, pebbles, gravel; gritty",Many small 少 stones 石; 少 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",shā,石
砉,⿱丰石,the sound of a whip cracking,,,,,"[0],[0],[0],[0],[1],[1],[1],[1],[1]",huò,石
砌,⿰石切,"to pile up, to build; stone steps; rock wall",To cut 切 stone 石; 切 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",qì,石
砍,⿰石欠,"to hack, to chop, to cut, to fell",stone,欠,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",kǎn,石
砑,⿰石牙,"to polish, to grind; to roll with a stone roller",Stone 石 used as teeth 牙; 牙 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",yà,石
砒,⿰石比,arsenic,mineral,比,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",pī,石
研,⿰石开,"to grind, to rub; to study, to research",stone,开,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",yán,石
砖,⿰石专,"tile, brick",stone,专,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",zhuān,石
砗,⿰石车,"giant clam, Tridacna gigas",stone,车,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",chē,石
砘,⿰石屯,a kind of farm tool,stone,屯,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",dùn,石
砚,⿰石见,inkstone,stone,见,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",yàn,石
砜,⿰石风,sulfone,mineral,风,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",fēng,石
砝,⿰石去,a standard weight (as for a balance),stone,去,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",fá,石
砟,⿰石乍,stone tablet; monument,stone,乍,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",zhǎ,石
砣,⿰石它,"a stone roller; plumb, weight",stone,它,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",tuó,石
砥,⿰石氐,whetstone; to polish,stone,氐,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",dǐ,石
砦,⿱此石,"stockade, fort, military outpost; brothel",stone,此,石,pictophonetic,"[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",zhài,石
砧,⿰石占,"anvil, flat stone",stone,占,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",zhēn,石
砩,⿰石弗,to build a dam with rocks,rock,弗,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",fú,石
砬,⿰石立,boulder; obelisk,A large standing 立 stone 石; 立 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",lá,石
砭,⿰石乏,stone probe; to pierce; to counsel,stone,乏,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1]",biān,石
砰,⿰石平,bang! the sound of crashing rock,rock,平,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",pēng,石
砲,⿰石包,"gun, cannon",stone,包,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",pào,石
破,⿰石皮,"to break, to rout; to ruin, to destroy",rock,皮,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",pò,石
砷,⿰石申,arsenic,mineral,申,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",shēn,石
砸,⿰石匝,"to smash, to pound, to crush, to break",rock,匝,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",zá,石
砹,⿰石艾,astatine,mineral,艾,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",ài,石
砺,⿰石厉,whetstone; to sharpen,A stone 石 used to hone 厉 blades; 厉 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",lì,石
砻,⿱龙石,"millstone; to grind, to mill",stone,龙,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",lóng,龙
砼,⿰石仝,concrete,stone,仝,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",tóng,石
砾,⿰石乐,"gravel, pebbles",stone,乐,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",lì,石
础,⿰石出,"foundation stone, plinth; basis",stone,出,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",chǔ,石
硃,⿰石朱,cinnabar; a red mole,Cinnabar 朱 ore 石; 朱 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",zhū,石
硅,⿰石圭,silicon,mineral,圭,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",guī,石
硇,⿰石囟,sal ammoniac,A kind of mineral 石 salt 卤,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",náo,石
硌,⿰石各,"hard, bulging",stone,各,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",gè,石
硎,⿰石刑,whetstone,stone,刑,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",xíng,石
硐,⿰石同,cave; chamber; pit,rock,同,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",dòng,石
硒,⿰石西,selenium,mineral,西,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",xī,石
硕,⿰石页,"great, eminent; large, big",Like a sheet 页 of stone 石,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",shuò,石
硖,⿰石夹,a town in Hebei province,stone,夹,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",xiá,石
硗,⿰石尧,barren land; sandy soil,stone,尧,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",qiāo,石
硙,⿰石岂,"millstone; to grind, to mill",stone,岂,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",wéi,石
硝,⿰石肖,saltpeter; to tan leather,mineral,肖,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",xiāo,石
硪,⿰石我,a flat stone used as a mortar,stone,我,石,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",wò,石
