character,decomposition,definition,etymology_hint,etymology_phonetic,etymology_semantic,etymology_type,matches,pinyin,radical
乾,⿰龺乞,"arid, dry; to fertilize; to penetrate; heavenly generative principle (male)",Rays 十 emanating from the 日; 乞 provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]",gān,乙
乿,⿰⿱爫糸乚,"to heal, to cure",,,,,"[0, 0],[0, 0],[0, 0],[0, 0],[0, 1],[0, 1],[0, 1],[0, 1],[0, 1],[0, 1],[1]",zhì,乚
亂,⿰⿳爫？⿵冂⿱厶又乚,"anarchy, chaos; revolt",A kneeling person 乚 using their hands 爫 to unravel a knot,,,ideographic,"[0, 0],[0, 0],[0, 0],[0, 0],None,None,[0, 2, 0],[0, 2, 0],[0, 2, 1, 0],[0, 2, 1, 0],[0, 2, 1, 1],[0, 2, 1, 1],[1]",luàn,乚
亅,？,hook,,,,,None,jué,亅
了,⿱乛亅,clear; to finish; particle of completed action,A child swaddled in blanklets; compare 子,,,pictographic,"[0],[1]","le,liǎo",亅
予,⿱？丁,to give; to award,,,,,"None,None,[1],[1]",yǔ,亅
争,⿱⺈⿻彐亅,"to dispute, to fight, to contend, to strive","Simplified form of 爭, two hands 爪 and 彐 fighting over 亅",,,ideographic,"[0],[0],[1, 0],[1, 0],[1, 0],[1, 1]",zhēng,亅
事,⿻⿳一口彐亅,"affair, matter, business; to serve; accident, incident",,,,,"[0, 0],[0, 1],[0, 1],[0, 1],[0, 2],[0, 2],[0, 2],[1]",shì,亅
二,⿱一一,two; twice,Two  parallel lines; compare 一 (one) and 三 (three),,,ideographic,"[0],[1]",èr,二
亍,⿱一丁,to take small steps; Korean place name,,,,,"[0],[1],[1]",chù,二
于,⿻二亅,"at, in, on; to, from; alas!",,,,,"[0],[0],[1]",yú,二
亏,⿱二？,"to lose, to fail; loss, damages; deficient",,,,,"[0],[0],None",kuī,二
云,⿱二厶,"cloud; to say, to speak",A cloud,,,pictographic,"[0],[0],[1],[1]",yún,二
互,⿴二？,"mutually, reciprocally",Two hooks hooking eachother,,,ideographic,"[0],None,None,[0]",hù,二
亓,⿱二？,that; surname,,,,,"[0],[0],None,None",qí,二
五,⿴二？,five; surname,Five elements (the cross with the extra stroke) between heaven 一 and earth 一 ,,,ideographic,"[0],None,None,[0]",wǔ,二
井,⿻二？,"well, mine shaft, pit",A mine or well,,,pictographic,"[0],[0],None,None",jǐng,二
亘,⿻二日,"to extend across, through; from",Stretching from heaven 一 to earth 一 ,,,ideographic,"[0],[1],[1],[1],[1],[0]",gèn,二
亙,⿻二？,"through; to extend across; to, from",A bridge laid across a river 二,,,ideographic,"[0],None,None,None,None,[0]",gèn,二
亚,⿱一业,Asia; second,Picture of a cross-shaped house or temple,,,pictographic,"[0],[1],[1],[1],[1],[1]",yà,一
些,⿱此二,"little, few; rather, somewhat",two,此,二,pictophonetic,"[0],[0],[0],[0],[0],[0],[1],[1]",xiē,二
亞,⿻二？,Asia; second,A cross-shaped house or temple,,,pictographic,"[0],None,None,None,None,None,None,[0]",yà,二
亟,⿱⿻了叹一,"urgently, immediately, extremely",,,,,"[0, 0],[0, 0],[0, 1],[0, 1],[0, 1],[0, 1],[0, 1],[1]",jí,二
亠,⿱丶一,"lid, cover; head",,,,,"[0],[1]",tóu,亠
亡,⿱亠？,"death, destruction; to lose; to perish",A man 人 in a coffin; see 亾,,,ideographic,"[0],[0],None",wáng,亠
亢,⿱亠几,"high, proud; violent, excessive; skilled; surname",,,,,"[0],[0],[1],[1]",kàng,亠
交,⿱六乂,"to connect; to deliver, to exchange; to intersect; to mix",A person with crossed (intersecting) legs,,,ideographic,"[0],[0],[0],[0],[1],[1]",jiāo,亠
亥,⿱亠？,12th terrestrial branch; used in transliterations,,,,,"[0],[0],None,None,None,None",hài,亠
亦,⿱亠？,"also, too; likewise",A man standing with arrows pointing to his armpits,,,ideographic,"[0],[0],None,None,None,None",yì,亠
产,⿳亠丷厂,"to give birth, to bring forth, to produce",,厂,,pictophonetic,"[0],[0],[1],[1],[2],[2]",chǎn,亠
亨,⿳亠口了,"prospering, going smoothly",,,,,"[0],[0],[1],[1],[1],[2],[2]",hēng,亠
亩,⿱亠田,fields; unit of area equal to 660 sq. m.,field,,田,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",mǔ,亠
享,⿳亠口子,to share; to enjoy; to benefit from,Children 子 living and eating 口 in the house 亠,,,ideographic,"[0],[0],[1],[1],[1],[2],[2],[2]",xiǎng,亠
京,⿳亠口小,capital city,A capital building on a hill,,,pictographic,"[0],[0],[1],[1],[1],[2],[2],[2]",jīng,亠
亭,⿱⿳亠口冖丁,pavilion; erect,"亠, 口, and 冖 form a picture of a pavilion; 丁 provides the pronunciation",,,pictographic,"[0, 0],[0, 0],[0, 1],[0, 1],[0, 1],[0, 2],[0, 2],[1],[1]",tíng,亠
亮,⿳亠口⿱冖几,"bright, brilliant, radiant, light",A lit oil lamp,,,pictographic,"[0],[0],[1],[1],[1],[2, 0],[2, 0],[2, 1],[2, 1]",liàng,亠
亲,⿱立⿻一小,"relatives, parents; intimate; the hazelnut tree",A tree 木 bearing fruit 立,,,ideographic,"[0],[0],[0],[0],[0],[1, 0],[1, 1],[1, 1],[1, 1]",qīn,立
亳,⿳亠口⿱冖乇,name of district in Anhui; capital of Yin,,,,,"[0],[0],[1],[1],[1],[2, 0],[2, 0],[2, 1],[2, 1],[2, 1]",bó,亠
亵,⿴衣执,"dirty, ragged; slight, insult, disrespect",Hands grasping 执 and tearing apart a dress 衣,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1],[0],[0],[0],[0]",xiè,亠
亶,⿱亠⿱回旦,"real, sincere, true; truth",,旦,,pictophonetic,"[0],[0],[1, 0],[1, 0],[1, 0],[1, 0],[1, 0],[1, 0],[1, 1],[1, 1],[1, 1],[1, 1],[1, 1]",dǎn,亠
亹,⿱亠舋,busy; resolute; to exert; to make progress,,,,,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",mén,亠
人,？,"man, person; people",The legs of a human being,,,pictographic,"None,None",rén,人
亻,？,"man, person; people",Visual abbreviation of 人,,,ideographic,"None,None",rén,亻
亼,⿱人一,"to assemble, to gather together",,,,,"[0],[0],[1]",jí,人
亾,⿺？人,"death, destruction; to lose, to perish",A man 人 in a coffin,,,ideographic,"[1],[1],None",wáng,人
亿,⿰亻乙,hundred million; many,people,乙,亻,pictophonetic,"[0],[0],[1]",yì,亻
什,⿰亻十,"what? mixed, miscellaneous",A file of ten 十 people 亻,,,ideographic,"[0],[0],[1],[1]",shén,亻
仁,⿰亻二,"benevolent, humane, kind",A caring relationship between two 二 people 亻,,,ideographic,"[0],[0],[1],[1]",rén,亻
仂,⿰亻力,"excess, remainder, surplus",,力,,pictophonetic,"[0],[0],[1],[1]",lè,亻
仃,⿰亻丁,"lonely, solitary",person,丁,亻,pictophonetic,"[0],[0],[1],[1]",dīng,亻
仄,⿸厂人,"slanting, oblique; oblique tones",A man 人 taking shelter in a lean-to 厂,,,ideographic,"[0],[0],[1],[1]",zè,人
仅,⿰亻又,"only, merely, solely, just",person,,亻,pictophonetic,"[0],[0],[1],[1]",jǐn,亻
仆,⿰亻卜,"to fall forward; prostrate, prone; servant",person,卜,亻,pictophonetic,"[0],[0],[1],[1]",pú,亻
仇,⿰亻九,"enemy; hatred, enmity",person,九,亻,pictophonetic,"[0],[0],[1],[1]",chóu,亻
仉,⿰亻几,mother; surname of the mother of Mencius,,,,,"[0],[0],[1],[1]",zhǎng,亻
今,⿱人？,"modern, current; today, now",A mouth 亼 talking about things,,,ideographic,"[0],[0],None,None",jīn,人
介,⿱人？,"agent, go-between, intermediary; to introduce; shell, armor",A border 八 dividing people 人,,,ideographic,"[0],[0],None,None",jiè,人
仌,⿱人人,frozen; ice-cold,"Old variant of 冰 (""ice-water"")",,,ideographic,"[0],[0],[1],[1]",bīng,人
仍,⿰亻乃,"yet, still; keeping, continuing; again",then,亻,乃,pictophonetic,"[0],[0],[1],[1]",réng,亻
从,⿰人人,"from, by, since, whence, through",One person 人 following another,,,ideographic,"[0],[0],[1],[1]",cóng,人
仑,⿱人匕,"logical reasons, logical order",,,,,"[0],[0],[1],[1]",lún,人
仓,⿱人㔾,"granary, barn; cabin, berth",Simplified form of 倉; grains 食 kept in storage 口,,,ideographic,"[0],[0],[1],[1]",cāng,人
仔,⿰亻子,"small thing, child; young animal",A person 亻 keeping watch over a child 子; 子 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1]",zǐ,亻
仕,⿰亻士,official; to serve in the government,person,士,亻,pictophonetic,"[0],[0],[1],[1],[1]",shì,亻
他,⿰亻也,"other, another; he, she, it","An additional, ""also"" 也  person 亻",,,ideographic,"[0],[0],[1],[1],[1]",tā,亻
仗,⿰亻丈,"1to rely upon; protector; to fight; war, weaponry",person,丈,亻,pictophonetic,"[0],[0],[1],[1],[1]",zhàng,亻
付,⿰亻寸,"give, deliver, pay, hand over; entrust",To hand 寸 something over to someone 亻 ,,,ideographic,"[0],[0],[1],[1],[1]",fù,亻
仙,⿰亻山,"god; fairy; immortal, transcendent",person,山,亻,pictophonetic,"[0],[0],[1],[1],[1]",xiān,亻
仝,⿱人工,"together, same; surname",person,工,人,pictophonetic,"[0],[0],[1],[1],[1]",tóng,人
仞,⿰亻刃,ancient unit of measure (about 8 feet); a fathom,,刃,,pictophonetic,"[0],[0],[1],[1],[1]",rèn,亻
仟,⿰亻千,one thousand; leader of one thousand men,people,千,亻,pictophonetic,"[0],[0],[1],[1],[1]",qiān,亻
仡,⿰亻乞,"strong; valiant, brave",,,,,"[0],[0],[1],[1],[1]",gē,亻
代,⿰亻弋,"era, generation; to substitute for, to replace",A man 亻 caught 弋 by the passing of time,,,ideographic,"[0],[0],[1],[1],[1]",dài,亻
令,⿱人？,"command, decree, order; magistrate; to allow, to cause",A person kneeling before a master 人,,,ideographic,"[0],[0],None,None,None",lìng,人
以,⿰？人,according to; so as to; because of; then,,,,,"None,None,[1],[1]",yǐ,人
仨,⿰亻三,three (cannot be followed by a measure word),three,三,三,pictophonetic,"[0],[0],[1],[1],[1]",sā,亻
仪,⿰亻义,"instrument, apparatus; ceremony, rites",,义,,pictophonetic,"[0],[0],[1],[1],[1]",yí,亻
仫,⿰亻么,tribe,people,么,亻,pictophonetic,"[0],[0],[1],[1],[1]",mù,亻
们,⿰亻门,plural marker for pronouns and some nouns,people,门,亻,pictophonetic,"[0],[0],[1],[1],[1]",men,亻
仰,⿰亻卬,"raise the head to look; look up to, rely on, admire",To exalt 卬 a person 亻,,,ideographic,"[0],[0],[1],[1],[1],[1]",yǎng,亻
仲,⿰亻中,"middle brother; go between, mediator; surname",The middle 中 person 亻; 中 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1]",zhòng,亻
仳,⿰亻比,"separate, part company",person,比,亻,pictophonetic,"[0],[0],[1],[1],[1],[1]",pǐ,亻
仵,⿰亻午,similar,,午,亻,pictophonetic,"[0],[0],[1],[1],[1],[1]",wǔ,亻
件,⿰亻牛,"item, matter; component, part; measure word for events",A man 亻 dividing up a cow 牛,,,ideographic,"[0],[0],[1],[1],[1],[1]",jiàn,亻
价,⿰亻介,"price, value",,介,,pictophonetic,"[0],[0],[1],[1],[1],[1]",jià,亻
